city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	description 2	Audio Evidence	Image/Video/Visual Evidence	Haunted Places Date	Haunted Places Witness Count	Time of Day	Apparition Type I	Apparition Type II	Apparition Type III	Event Type	Alcohol Abuse Rate	Amount of daylight	Sunrise Time	Sunset Time	Max Temperature	Min Temperature	Precipitation	comment count	EHP rating	image	urban_or_near	color	element	Dimensions
Ada	United States	"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids."""	Ada Cemetery	Michigan	MI	-85.50489309999999	42.9621061	-85.4954803	42.960727		True	True	1911-12-07	3	Evening	Ghost	Single Ghost	Unknown	Death, Supernatural	19.8	09:09	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(217, 218, 207)	Unknown	474x316
Addison	United States	A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.	North Adams Rd.	Michigan	MI	-84.3818434	41.9714248	-84.3471684	41.986434		True	True	2025-01-01	1	Evening	Ghost	Single Ghost	Unknown	Murder, Death	19.8	09:12	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(49, 49, 57)	Unknown	474x354
Adrian	United States	If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.	Ghost Trestle	Michigan	MI	-84.03565619999999	41.904538	-84.03716589999999	41.8975471		True	True	1995-03-07	1	Evening	Ghost	Several Ghosts	Male Ghost, Female Ghost	Murder, Death	19.8	11:31	7:02	6:33	15.1	0.1	22.1	Unknown	Unknown	Unknown	True	RGB(223, 223, 223)	Unknown	474x474
Adrian	United States	In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.	Siena Heights University	Michigan	MI	-84.0175653	41.9057124	-84.03716589999999	41.8975471	 41.905915°, -84.017592°  1247 E Siena Heights Drive, Adrian, Michigan Founded by the Adrian Dominican Sisters in 1919, Siena Heights University is a Roman Catholic university located in Adrian, Michigan. The 55-acre campus is rumored to be haunted by the spirits of two men who were killed during the school's construction, as well as the former Adrian Dominican Sisters, many of whom are buried in a small cemetery located nearby. Students attending Siena Heights University frequently report witnessing apparitions, especially in the older buildings on campus. Others report experiencing a variety of paranormal activity, such as cold spots, doors opening and closing by themselves, and pictures being knocked from walls without warning. In other areas, students have also reported witnessing a pair of glowing red eyes which defy explanation.	True	True	1970-03-07	3	Evening	Orb, Ghost	Several Ghosts	Unknown	Murder, Death	19.8	11:31	7:01	6:33	9.1	-3.7	0.0	5	84.6	False	True	RGB(204, 219, 235)	Unknown	474x266
Albion	United States	"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply."	Albion College	Michigan	MI	-84.7451775	42.2440064	-84.7530304	42.243097	" 42.244006°, -84.745177°  611 E. Porter Street, Albion, Michigan Founded in 1835 by the United Methodist Church, Albion College is a private liberal arts school located in Albion, Michigan. One common ghost story told by students attending the college claims the Delta Kappa Sorority is haunted by the spirit of a former student, nicknamed ""P,"" who was killed in a car accident. Members of the Delta Kappa sorority often report experiencing strange paranormal phenomena such as doors opening and closing by themselves, or hearing disembodied voices and laughter. Others have reported witnessing objects being moved by an unseen entity, or experiencing feelings of being watched."	True	True	1835-03-07	1	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	11:30	6:33	6:03	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(105, 108, 49)	car	474x315
Albion	United States	A mysterious lady in white has been spotted in this cemetery.	Riverside Cemetery	Michigan	MI	-84.7530555	42.2368139	-84.7530304	42.243097	" 42.232928°, -84.752458°  1301 S. Superior Street, Albion, Michigan Established in 1837 as Albion Burying Ground, Riverside Cemetery in Albion, Michigan is said to be haunted by the spirit of a woman wearing a long white gown, known simply as ""The Woman In White."" Those visiting the old cemetery at night have reported witnessing the woman's apparition among the old headstones, while others report experiencing sudden cold spots, or feeling the presence of an unseen entity nearby. One popular folklore tale told by Albion residents claims that a cursed chair within the cemetery brings bad luck, and sometimes even death to those who sit in it, however this story is considered by most to be nothing more than an urban legend."	True	True	1837-03-07	1	Evening	Ghost	Single Ghost	Female Ghost	Death, Supernatural	19.8	11:31	6:32	6:04	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(39, 51, 18)	baseball bat	474x286
Algoma Township	United States	On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...	Hell's Bridge	Michigan	MI			-85.62292959999999	43.1492928		True	True	1800-03-07	1	Morning	Ghost	Several Ghosts	Unknown	Murder, Supernatural	19.8	11:30	6:36	6:07	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(203, 199, 201)	Unknown	474x266
Algonac	United States	Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com	Morrow Road	Michigan	MI	-82.5762902	42.6529969	-82.531018	42.6183675	" 42.652980°, -82.576305°  Morrow Road, Algonac, Michigan Morrow Road in Algonac, Michigan was first used as a cow path during the 1800's, and is said to be haunted by the spirit of a woman who allegedly froze to death while searching the woods for her missing son. Although sightings of the woman's ghost date back to the late 1800's, many different stories have been told over the years which attempt to explain the reason for her presence. In one version of the story her son is kidnapped or goes missing, and the woman dies while searching for him. In another version, the woman is said to have given birth out of wedlock and attempts to hide her transgressions by abandoning the newborn baby near a small creek on the side of the road. She later returns out of guilt only to discover that the child is nowhere to be found, and dies of hypothermia after searching desperately all night to find him. One urban legend that became popular during the 1950's even claims that a monster called ""The Morrow Road Monster"" was responsible for the child's disappearance, and that the beast continues to live in the woods devouring children who dare to stay out past dark. Over the years motorists on Morrow Road have reported encountering the spirit of a woman wearing a blue nightgown, as well as hearing the disembodied sounds of a child crying, and seeing mysterious glowing orbs in the woods nearby."	True	True	1800-03-07	1	Evening	Orb, Ghost	Several Ghosts	Female Ghost	Murder, Death	19.8	11:31	6:24	5:55	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(202, 221, 230)	Unknown	474x366
Allegan	United States	"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?"""	Elks Lodge	Michigan	MI	-85.84159919999999	42.520552	-85.8553031	42.5291989	Casper , Wyoming Constructed in 1922, the Elks Lodge in Casper , Wyoming is rumored to be haunted by the spirit of a man who is seen smoking cigars in the basement. Although his identity is unable to be confirmed many believe he is the ghost of one of the building's former owners who passed away, and he is often accompanied by the scent of cigar smoke. Many patrons over the years have also reported encountering the spirit of a woman in a white lace dress, especially in the ballroom. Others claim to experience mysterious paranormal phenomena, such as lights flickering, feelings of being watched, furniture and other objects being moved by an unseen entity, and the unexplained sounds of disembodied voices and music. Additional research for this allegedly haunted location is currently in progress.	True	True	1922-03-07	1	Unknown	Ghost	Several Ghosts	Male Ghost, Female Ghost	Supernatural Phenomenon	19.8	11:29	7:10	6:39	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(39, 22, 6)	Unknown	474x371
Allegan	United States	Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.	The Grill House and the Rock Bottom Bar	Michigan	MI	-85.8575642	42.4977621	-85.8553031	42.5291989		True	True	2021-11-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	10:04	7:24	5:28	16.0	5.5	0.0	Unknown	Unknown	Unknown	True	RGB(195, 213, 239)	Unknown	474x355
Allegan	United States	there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.	The Yellow Motel	Michigan	MI	-85.8744224	42.5341643	-85.8553031	42.5291989	 42.506188°, -86.034219°  112th Avenue, Allegan , Michigan  According to historians the infamous American mobster Al Capone once used The Yellow Motel in Allegan , Michigan as a hideout during the 1920's due to its secluded location surrounded by woods. Although the original structure burned down during the 1990's, parts of the building's foundation still remains. The ruins of the former motel are said to be haunted by the spirits of several murder victims whose bodies were disposed of in the surrounding woods, many of which were never found. Paranormal investigators exploring the location claim to witness a number of unidentified spirits and apparitions, in addition to experiencing a variety of other paranormal phenomena such as disembodied voices and footsteps, or feeling a strange presence. Others report witnessing the spirits of a pack of white spectral hounds that appear late at night to chase away trespassers, as well as a phantom vehicle on the road nearby. Many motorists and pedestrians in the area also report witnessing a pair of glowing red eyes that appear to watch passersby from just beyond the tree line. 	True	True	2007-03-07	1	Evening	Ghost	Single Ghost	Unknown	Murder, Supernatural	19.8	11:31	7:09	6:40	-2.8	-10.8	2.7	Unknown	Unknown	Unknown	True	RGB(71, 71, 71)	person, person, skateboard	297x290
Alma	United States	"Gamma Phi Beta House - Sisters that live in the ""pink"" room awoke one night to see a ghostly figure pacing back and forth between the closet door and the bedroom door. The sisters that stay in that room immediately started screaming, and the president came out of her room, opened the door and the ghost went past her. When she returned to her room everything that was hanging on the walls had fallen to the ground. Also, there are always strange things happening at the house. Things turn up missing or are moved. Strange noises can be heard throughout the night. Doors are always slamming, lights go dim, and many other strange things happen. The ""hauntings"" started shortly after the sisters of gamma phi beta remodeled the house...it's almost like it upset the ghost(s)."	Alma College	Michigan	MI	-84.669939	43.379011	-84.6597274	43.3789199	 43.380748°, -84.672777°  614 W. Superior Street, Alma, Michigan Alma College in Alma, Michigan was founded in 1886 by members of the Michigan Presbyterian Church. Sorority sisters at the Gamma Phi Beta house report encountering the spirit of an unidentified woman who wanders the hallways late at night before mysteriously disappearing. Her spirit is most often seen in the house's Pink Room, and is frequently blamed for a variety of unexplained paranormal phenomena such as lights flickering, cold spots, doors opening and closing by themselves, objects being knocked to the floor by an unseen entity, and strange disembodied voices or footsteps which appear to come from empty rooms. Gelston Hall is also rumored to be haunted by the spirit of a woman named Mary C. Gelston, who served as Alma College's first Dean of Women. Residents claim that her spirit appears late at night to frighten students, who also report experiencing other paranormal activity, such as doors slamming shut by themselves, and feeling the presence of an unseen entity.	True	True	1886-03-07	1	Evening	Ghost	Several Ghosts	Female Ghost	Death, Supernatural	19.8	11:30	6:32	6:03	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(217, 219, 220)	person, person, person, person, person, person, person	474x710
Alpena	United States	A few witnesses heard footsteps and saw heads in the windows before they were boarded up. next to the long lake chapel.	old radio tavern	Michigan	MI	-83.433713	45.0629087	-83.4327528	45.0616794		True	True	1951-12-28	2	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	08:47	8:11	4:58	-2.9	-10.9	3.1	Unknown	Unknown	Unknown	True	RGB(49, 29, 27)	chair, chair, chair, person, tv, bottle, bottle, chair	474x296
Ann Arbor	United States	Story goes some time in the late 70s a student named Mary (last name never mentioned) who, while working on some lighting fixtures alone one day, fell from the catwalks head first and died upon the stage. Sightings include actors and stagehands seeing a girl up in the catwalks wearing a light pink dress. Also, in the prop room where all the senior thespians spray paint their names on the wall shortly after Mary's death her name appeared in bold red paint above the doorway about seventeen feet from the floor and upside down.	Huron High School theatre.	Michigan	MI	-83.70264300000001	42.2813889	-83.7430378	42.2808256		True	True	2012-03-07	1	Evening	Ghost	Single Ghost	Unknown	Death	19.8	11:33	6:59	6:32	17.6	9.3	0.0	Unknown	Unknown	Unknown	True	RGB(191, 191, 191)	person, person, couch, couch	474x313
Ann Arbor	United States	Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.	Mercywood Hospital	Michigan	MI	-83.6541587	42.2648802	-83.7430378	42.2808256		True	True	2025-01-01	0	Unknown	Ghost	Single Ghost	Unknown	Murder, Death	19.8	09:10	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(126, 126, 126)	car	474x373
Assininns	United States	Before the building was turned into a Tribal Center, it used to be a Catholic Orphanage. People have sighted apparitions of little kids, nuns and priests, and have also had encounters with objects dropping or moving, and other various sounds through out the building. This entire piece of land still has a church that's active, and other inactive buildings that date back to the early 1800's.	the old tribal center/orphanage	Michigan	MI			-88.4773517	46.81020950000001		True	True	1800-03-07	1	Morning	Ghost	Several Ghosts	Female Ghost, Child Ghost	Supernatural Phenomenon	19.8	11:26	6:50	6:16	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	Unknown	Unknown	Unknown
Atlanta	United States	The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.	Camp 8 Cabin	Michigan	MI	-84.2878159	44.84782939999999	-84.1438927	45.00473059999999		True	True	2008-03-07	0	Unknown	Orb, Ghost	Several Ghosts	Child Ghost	Supernatural Phenomenon	19.8	11:30	7:03	6:33	-7.1	-15.0	0.0	Unknown	Unknown	Unknown	False	RGB(116, 58, 28)	bed, bed	474x355
Augusta	United States	Hotel now owned by Michigan State University.  Originally the Upjohn Family (of Upjohn Pharmaceauticals - since bought by Pharmacia and later Pfizer) summer residence.  Dr. Upjohn died in the Doctor's Cottage - a beautiful, upscale large cottage on the edge of the creek, surrounded by his japanese garden. Guests in staying in the cottage have told staff they hear footsteps and no one is there.  It's not uncommon for guests staying in the Doctor's Cottage to go to the front desk during the night to request to be moved to another room due to the strange noises and feelings of uneasiness. Hotel staff have said they hear the piano playing when alone in the Doctor's cottage, closing up after events- and yet they are the only people there. Guests staying in the carriage house have reported hearing piano music during the night - but the only piano currently on property is too far away to be heard there.	Brook Lodge Hotel	Michigan	MI			-85.35222189999999	42.3364294		True	True	1886-03-07	1	Evening	Ghost	Single Ghost	Unknown	Death, Supernatural	19.8	11:32	6:34	6:06	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(60, 68, 58)	Unknown	474x367
Battle Creek	United States	"Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings""."	Court Apartments (formally Webster Apartments)	Michigan	MI	-85.1780687	42.2979251	-85.17971419999999	42.3211522		True	True	2025-01-01	0	Unknown	Ghost	Single Ghost	Unknown	Death, Supernatural	19.8	09:10	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(208, 216, 224)	car, car, car, car, car, car, car	474x315
Battle Creek	United States	when people drive by sometimes they see a white ball run across the into a marble headstone.	Penfield cemetery	Michigan	MI	-85.17774469999999	42.3062055	-85.17971419999999	42.3211522	 PRIVATE RESIDENCE  PRIVATE RESIDENCE The Enfield Farmhouse is a PRIVATE RESIDENCE located on PRIVATE PROPERTY , and trespassers risk being arrested or prosecuted by law enforcement and/or property owners . 	True	True	1919-03-07	1	Unknown	Orb, Ghost	Single Ghost	Unknown	Unknown	19.8	11:29	7:07	6:36	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(32, 34, 25)	person, person	474x379
Bay City	United States	Reports of apparitions and footsteps heard in there and found nobody in the building.	Delta College	Michigan	MI	-83.98600359999999	43.5579516	-83.8888647	43.5944677	Corpus Christi , Texas Established in 1935, Del Mar College is a public community college located in Corpus Christi , Texas. Those working in the Memorial Classroom Building at night often report experiencing paranormal phenomena, such as furniture and other objects being moved or rearranged by an unseen entity, or hearing the sounds of disembodied voices and laughter. Additional r esearch for this allegedly haunted location is currently in progress.	True	True	1935-03-07	0	Evening	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	11:28	7:03	6:31	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(94, 138, 182)	Unknown	474x316
Bay City	United States	white objects seen entering plant, very creepy feeling, some people who have went inside have came out frightened	old water treatment plant	Michigan	MI	-83.8741012	43.6258078	-83.8888647	43.5944677		True	True	2025-01-01	3	Unknown	Ghost	Single Ghost	Unknown	Unknown	19.8	09:01	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(92, 99, 88)	person	474x316
Bay City	United States	The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.	Our Lady of the Visitation Church	Michigan	MI	-83.8945444	43.616625	-83.8888647	43.5944677	 43.616909°, -83.893927°  1106 State Street, Bay City, Michigan The historic Our Lady of the Visitation Church in Bay City, Michigan was first consecrated in 1914 by the Catholic Church. Over the years many church members claim to have encountered a mysterious disembodied hand that is most often observed in the basement area, or the sacristy where a variety of holy relics and other worship items are kept. Although the reason for the phantom hand's presence at the church is unknown, those who have encountered the severed limb describe it as being a bloody stump that appears to have been severed at the wrist. Others claim that the hand is spectral and transparent, and disappears shortly after being observed. Our Lady of the Visitation Church was permanently closed in 2016 due to financial issues.	True	True	1914-03-07	0	Unknown	Ghost	Several Ghosts	Unknown	Supernatural Phenomenon	19.8	11:28	6:03	5:31	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(62, 52, 49)	car, clock	474x316
Bellaire	United States	The Richardi House (now known as The Grand Victorian Bed & Breakfast) is rumored to be haunted by Henri Richardi. Richardi built the house for his intended bride. When she left him for another man, he was heartbroken. Strange lights were seen in the cupola when the house was uninhabited (before being turned into a Bed & Breakfast).	Richardi House	Michigan	MI	-85.209954	44.980443	-85.2111728	44.9802822		True	True	1978-03-07	1	Morning	Unknown	Unknown	Unknown	Supernatural Phenomenon	19.8	11:28	7:08	6:36	-3.8	-13.2	0.0	Unknown	Unknown	Unknown	False	RGB(88, 114, 111)	Unknown	474x551
Dearborn	United States	The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.	Ford Rouge Plant	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599		True	True	2001-03-07	2	Evening	Ghost	Several Ghosts	Unknown	Unknown	19.8	11:32	6:58	6:30	4.2	-3.9	0.0	Unknown	Unknown	Unknown	True	RGB(87, 57, 32)	Unknown	474x300
Dearborn	United States	The overpass bridge also has haunting facts from the day Walter Reuther was beaten up by Harry Bennett's thugs. It is said that people who use this bridge late at night get an eerie feeling of being pushed from behind and a strange voice yells at them.	Ford Rouge Plant – Overpass Bridge	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599		True	True	1937-03-07	1	Evening	Ghost	Single Ghost	Male Ghost, Female Ghost	Supernatural Phenomenon	19.8	11:31	6:59	6:29	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(196, 194, 190)	Unknown	474x353
Dearborn	United States	Cold spots felt. One of the most recent encounters was in one of the seventh grade classrooms. The teacher left the room to copy some papers. Right after he left, the door connecting to of the rooms together flew open. When some of the students checked, no one could've gotten into that room. They sat back down, and again, the door moved a little. Right after, the students heard faint whispering.	O.L. Smith Middle School	Michigan	MI	-83.2683124	42.2879006	-83.17631449999999	42.3222599	Dearborn , Michigan 	True	True	2025-01-01	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	09:10	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(214, 231, 233)	Unknown	400x300
Belding	United States	In the Children's section, downs stairs, sometimes you hear a small girl laughing when you are there alone. Books fall off the selves and you feel like there is someone in the room who wants you to go away even thought there is no one there.	Belding Library	Michigan	MI	-85.2268185	43.09784639999999	-85.228906	43.0978094		True	True	1993-03-07	0	Unknown	Ghost	Single Ghost	Unknown	Murder, Death	19.8	11:31	7:06	6:37	5.6	-5.4	0.7	Unknown	Unknown	Unknown	True	RGB(73, 94, 122)	Unknown	474x332
Belleville	United States	Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.	94 &amp; Denton Rd.	Michigan	MI	-94.819713	45.66820509999999	-83.4852133	42.2047619		True	True	2020-03-07	1	Evening	Orb, Ghost	Single Ghost	Unknown	Murder, Death	19.8	11:28	6:45	6:15	10.5	-2.2	0.0	Unknown	Unknown	Unknown	False	RGB(51, 50, 50)	Unknown	474x474
Belleville	United States	Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.	Cemetery off S. Service Drive	Michigan	MI	-83.522807	42.2167069	-83.4852133	42.2047619		True	True	1864-05-07	1	Unknown	Orb, Ghost	Single Ghost	Unknown	Murder, Supernatural	19.8	14:18	4:49	7:07	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(131, 145, 101)	car	474x266
Belleville	United States	When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.	Robson Rd	Michigan	MI	-83.47570929999999	42.2414323	-83.4852133	42.2047619	" 42.241432°, -83.475709°  Robson Road, Belleville, Michigan Motorists and pedestrians traveling on Robson Road in Belleville, Michigan at night report encountering a phantom automobile that races quickly from one end of the roadway to the other before mysteriously disappearing into thin air. Although many have reported encountering this spectral vehicle the reason for its presence is unknown.   Soop Cemetery ""The Witch Of Soop Cemetery""  42.216736°, -83.522384°  49250 Old Denton Road, Belleview, Michigan Soop Cemetery in Belleville, Michigan was established in the early 1800's. It is said to be haunted by the spirit of an elderly woman named Elizabeth Soop who passed away in December of 1899 at the age of 73. For many years rumors circulated throughout the town of Belleville that Elizabeth was a practitioner of witchcraft, which family records later confirmed. Visitors at Soop Cemetery have reported encountering apparitions and shadow figures, as well as experiencing other unexplained paranormal phenomena, such as hearing the sounds of disembodied voices and footsteps, or feeling a strange presence. Others report experiencing sudden cold spots and drops in temperature, and motorists passing by the cemetery at night report witnessing strange glowing lights and orbs. Many paranormal enthusiasts who venture to the far end of the cemetery where Mrs. Soop is buried have also reported encountering a group of shadowy entities between three and five feet tall that appear to harass trespassers and chase away unwanted visitors, with some even alleging that the shadow figures are somehow connected to Elizabeth Soop's grave. "	True	True	1899-03-07	1	Morning	Ghost	Single Ghost	Female Ghost	Death, Supernatural	19.8	11:31	6:27	5:58	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(88, 96, 62)	Unknown	474x315
Belleville	United States	ghosts dressed in white can be seen walking through the cemetery. It always vanishes into the tallest grave there. The ghost(s) follows vehicles that drive in there at night.	Tyler Rd. Cemetery	Michigan	MI	-83.4298354	42.2373832	-83.4852133	42.2047619		True	True	1869-09-26	1	Evening	Ghost	Single Ghost	Unknown	Death, Supernatural	19.8	11:58	5:53	5:51	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(133, 133, 133)	Unknown	200x172
